MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,TARGET
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,58.0,2.0,ANNUAL,1,0.1818195041418483,1953,2008,8,27,116464.0,1
17.0,100100.0,M,F,350004.0,1.0,TYPE-B,43.0,2.0,ANNUAL,3,0.2859967314659261,1455,2010,1,7,86430.0,0
12.0,200000.0,Unknown,M,549996.0,1.0,TYPE-B,50.0,0.0,ANNUAL,0,0.3636390082836966,1115,2010,12,13,100500.0,1
12.0,399999.99,Unknown,M,549996.0,1.0,TYPE-B,84.0,2.0,ANNUAL,0,0.7272779983854428,673,2012,2,28,169008.0,1
96.0,100000.3,Unknown,M,549996.0,6.0,TYPE-A,68.0,0.0,ANNUAL,1,0.18182004960036074,64,2013,10,29,136884.0,0
12.0,100000.0,M,M,500004.0,1.0,TYPE-B,56.0,3.0,SEMI-ANNUAL,1,0.1999984000127999,1374,2010,3,29,112560.0,0
12.0,100000.0,M,M,399996.0,1.0,TYPE-B,47.0,3.0,SEMI-ANNUAL,1,0.25000250002500024,1281,2010,6,30,94470.0,1
12.0,150000.0,W,F,324996.0,1.0,TYPE-B,43.0,0.0,ANNUAL,0,0.4615441420817487,2193,2007,12,31,86301.0,1
12.0,100000.0,S,M,500004.0,1.0,TYPE-B,28.0,0.0,SEMI-ANNUAL,0,0.1999984000127999,1874,2008,11,14,56224.0,0
22.0,100000.0,M,M,950004.0,1.0,TYPE-B,26.0,1.0,ANNUAL,2,0.1052627146833066,1029,2011,3,9,52286.0,1
52.0,150000.0,M,M,200004.0,1.0,TYPE-B,42.0,3.0,ANNUAL,2,0.749985000299994,1251,2010,7,30,84420.0,1
22.0,250000.0,M,M,870000.0,1.0,TYPE-B,39.0,3.0,ANNUAL,1,0.28735632183908044,276,2013,3,31,78507.0,0
12.0,100000.0,M,M,2499996.0,1.0,TYPE-B,40.0,1.0,ANNUAL,1,0.0400000640001024,377,2012,12,20,80480.0,0
17.0,124804.92,M,M,399996.0,5.0,TYPE-A,42.0,1.0,MONTHLY,3,0.31201542015420153,336,2013,1,30,84546.0,0
17.0,100001.0,M,M,800004.0,1.0,TYPE-B,38.0,3.0,ANNUAL,0,0.125000624996875,1456,2010,1,6,76380.0,0
51.0,100508.84,M,M,1200000.0,5.0,TYPE-A,54.0,3.0,QUARTERLY,0,0.08375736666666667,1024,2011,3,14,108594.0,1
70.0,100002.02,Unknown,M,549996.0,6.0,TYPE-A,69.0,0.0,SEMI-ANNUAL,1,0.18182317689583197,294,2013,3,13,138897.0,1
22.0,103090.08,M,F,549996.0,4.0,TYPE-A,45.0,2.0,ANNUAL,3,0.18743787227543474,62,2013,10,31,90585.0,0
70.0,201000.45,S,M,300000.0,1.0,TYPE-A,35.0,0.0,ANNUAL,1,0.6700015,678,2012,2,23,70420.0,1
32.0,101996.82,M,M,499992.0,2.0,TYPE-A,54.0,3.0,ANNUAL,2,0.20399690395046322,551,2012,6,29,108648.0,0
12.0,120000.96,M,M,399000.0,1.0,TYPE-B,47.0,3.0,MONTHLY,1,0.30075428571428575,1211,2010,9,8,94470.0,1
89.0,172385.78,Unknown,M,499992.0,2.0,TYPE-A,53.0,0.0,ANNUAL,0,0.3447770764332229,519,2012,7,31,106636.0,1
39.0,100000.0,M,M,600000.0,1.0,TYPE-B,46.0,1.0,QUARTERLY,1,0.16666666666666666,2102,2008,3,31,92368.0,0
12.0,100001.76,M,M,999996.0,1.0,TYPE-B,51.0,1.0,MONTHLY,1,0.10000216000864003,1090,2011,1,7,102561.0,1
101.0,243910.94,Unknown,M,1599996.0,1.0,TYPE-A,30.0,0.0,SEMI-ANNUAL,0,0.15244471861179654,336,2013,1,30,60390.0,0
17.0,124106.64,M,M,499992.0,1.0,TYPE-A,33.0,3.0,MONTHLY,3,0.2482172514760236,538,2012,7,12,66396.0,0
12.0,100000.0,M,M,500004.0,1.0,TYPE-B,42.0,2.0,SEMI-ANNUAL,1,0.1999984000127999,1615,2009,7,31,84378.0,0
27.0,300000.0,M,M,920004.0,1.0,TYPE-B,57.0,1.0,ANNUAL,1,0.32608553875852714,1505,2009,11,18,114513.0,1
17.0,100000.0,M,M,390000.0,5.0,TYPE-B,46.0,2.0,ANNUAL,1,0.2564102564102564,1512,2009,11,11,92414.0,0
22.0,126000.0,M,F,333000.0,1.0,TYPE-B,42.0,1.0,ANNUAL,0,0.3783783783783784,1181,2010,10,8,84420.0,1
12.0,120000.96,M,F,799992.0,1.0,TYPE-B,37.0,3.0,MONTHLY,0,0.15000270002700028,580,2012,5,31,74444.0,0
12.0,100000.0,M,M,300000.0,1.0,TYPE-B,28.0,1.0,SEMI-ANNUAL,0,0.3333333333333333,2151,2008,2,11,56224.0,1
73.0,149999.51,Unknown,M,399996.0,1.0,TYPE-A,62.0,0.0,ANNUAL,3,0.3750025250252503,702,2012,1,30,124744.0,0
22.0,119999.79,Unknown,F,349992.0,2.0,TYPE-A,29.0,0.0,ANNUAL,0,0.3428643797572516,124,2013,8,30,58377.0,0
12.0,200000.0,M,F,300000.0,1.0,TYPE-B,46.0,1.0,ANNUAL,0,0.6666666666666666,1010,2011,3,28,92506.0,1
17.0,140000.0,S,M,999996.0,1.0,TYPE-B,37.0,0.0,ANNUAL,2,0.14000056000224,2029,2008,6,12,74296.0,0
12.0,100000.0,S,F,180000.0,1.0,TYPE-B,24.0,0.0,ANNUAL,0,0.5555555555555556,1793,2009,2,3,48216.0,0
17.0,100000.0,S,M,399996.0,5.0,TYPE-B,36.0,0.0,SEMI-ANNUAL,0,0.25000250002500024,1897,2008,10,22,72288.0,1
43.0,150000.0,M,M,999996.0,1.0,TYPE-B,41.0,1.0,SEMI-ANNUAL,0,0.1500006000024,1951,2008,8,29,82328.0,0
27.0,125811.01,Unknown,M,600000.0,2.0,TYPE-A,53.0,0.0,ANNUAL,0,0.20968501666666667,709,2012,1,23,106636.0,0
44.0,300000.0,M,M,999996.0,1.0,TYPE-B,51.0,2.0,ANNUAL,0,0.3000012000048,1377,2010,3,26,102510.0,1
17.0,119994.6,Unknown,Unknown,549996.0,1.0,TYPE-B,48.0,0.0,MONTHLY,1,0.21817358671699433,1638,2009,7,8,96432.0,0
22.0,100000.0,S,M,300000.0,2.0,TYPE-B,20.0,0.0,ANNUAL,0,0.3333333333333333,276,2013,3,31,40260.0,0
17.0,150000.16,Unknown,F,999996.0,1.0,TYPE-A,56.0,0.0,ANNUAL,0,0.15000076000304002,341,2013,1,25,112728.0,0
27.0,100000.0,M,M,399996.0,1.0,TYPE-B,35.0,1.0,ANNUAL,3,0.25000250002500024,1378,2010,3,25,70350.0,0
12.0,100000.0,M,F,277776.0,2.0,TYPE-B,37.0,1.0,ANNUAL,2,0.3600023040147457,726,2012,1,6,74444.0,1
54.0,100000.0,M,F,600000.0,1.0,TYPE-B,29.0,1.0,ANNUAL,2,0.16666666666666666,1588,2009,8,27,58261.0,1
22.0,100003.99,M,M,309996.0,1.0,TYPE-B,52.0,1.0,ANNUAL,1,0.32259767867972494,1500,2009,11,23,104468.0,0
12.0,100000.0,Unknown,M,549996.0,1.0,TYPE-B,66.0,3.0,ANNUAL,0,0.1818195041418483,1014,2011,3,24,132726.0,0
17.0,112218.0,M,M,499992.0,2.0,TYPE-A,35.0,3.0,ANNUAL,1,0.22443959103345654,366,2012,12,31,70420.0,0
67.0,100000.0,M,M,763992.0,1.0,TYPE-A,37.0,3.0,ANNUAL,2,0.13089142294683714,128,2013,8,26,74481.0,0
12.0,700000.0,D,F,1500000.0,2.0,TYPE-B,53.0,0.0,ANNUAL,2,0.4666666666666667,307,2013,2,28,106689.0,0
69.0,149999.86,Unknown,M,549996.0,6.0,TYPE-A,68.0,1.0,ANNUAL,1,0.27272900166546665,215,2013,5,31,136884.0,0
38.0,240000.0,M,M,459996.0,1.0,TYPE-B,56.0,3.0,SEMI-ANNUAL,2,0.5217436673362377,1471,2009,12,22,112504.0,0
12.0,1500000.0,Unknown,M,499992.0,2.0,TYPE-B,59.0,0.0,ANNUAL,1,3.0000480007680124,642,2012,3,30,118708.0,1
57.0,100000.13,M,M,799992.0,1.0,TYPE-A,47.0,3.0,ANNUAL,0,0.12500141251412514,174,2013,7,11,94611.0,0
12.0,200000.0,M,F,399996.0,1.0,TYPE-B,44.0,3.0,ANNUAL,3,0.5000050000500005,1134,2010,11,24,88440.0,1
12.0,100000.0,Unknown,M,549996.0,1.0,TYPE-B,35.0,1.0,ANNUAL,0,0.1818195041418483,1069,2011,1,28,70385.0,0
12.0,100000.0,M,F,249996.0,1.0,TYPE-B,30.0,3.0,SEMI-ANNUAL,0,0.4000064001024016,1755,2009,3,13,60270.0,0
57.0,100000.0,M,M,350004.0,1.0,TYPE-B,26.0,3.0,QUARTERLY,1,0.28571102044548063,1742,2009,3,26,52234.0,1
12.0,100000.0,Unknown,M,549996.0,1.0,TYPE-B,56.0,0.0,ANNUAL,2,0.1818195041418483,1105,2010,12,23,112560.0,1
50.0,100001.0,M,M,999996.0,1.0,TYPE-B,45.0,2.0,ANNUAL,1,0.10000140000560002,1429,2010,2,2,90450.0,0
38.0,100000.0,M,F,249996.0,1.0,TYPE-B,56.0,1.0,ANNUAL,1,0.4000064001024016,1351,2010,4,21,112560.0,1
17.0,100000.0,M,F,350004.0,1.0,TYPE-B,38.0,3.0,ANNUAL,0,0.28571102044548063,1843,2008,12,15,76304.0,0
17.0,250000.48,M,M,549996.0,2.0,TYPE-A,44.0,1.0,ANNUAL,0,0.45454963308824065,187,2013,6,28,88572.0,0
52.0,100000.0,M,M,500004.0,1.0,TYPE-B,43.0,3.0,SEMI-ANNUAL,1,0.1999984000127999,1332,2010,5,10,86430.0,0
17.0,112773.24,M,F,399996.0,1.0,TYPE-A,38.0,1.0,ANNUAL,3,0.2819359193591936,366,2012,12,31,76456.0,0
12.0,199007.88,M,F,519996.0,1.0,TYPE-B,30.0,3.0,MONTHLY,1,0.38271040546465745,2135,2008,2,27,60240.0,1
32.0,199997.99,M,M,549996.0,6.0,TYPE-A,64.0,3.0,ANNUAL,3,0.36363535371166333,160,2013,7,25,128832.0,0
22.0,100000.45,Unknown,F,549996.0,6.0,TYPE-A,76.0,0.0,ANNUAL,2,0.18182032232961692,128,2013,8,26,152988.0,0
17.0,120639.6,Unknown,F,300000.0,1.0,TYPE-A,49.0,0.0,MONTHLY,3,0.40213200000000004,246,2013,4,30,98637.0,0
12.0,150000.0,M,M,999996.0,1.0,TYPE-B,34.0,3.0,ANNUAL,1,0.1500006000024,293,2013,3,14,68442.0,0
12.0,100000.0,M,F,399996.0,1.0,TYPE-B,40.0,2.0,ANNUAL,1,0.25000250002500024,1433,2010,1,29,80400.0,0
22.0,206180.05,Unknown,M,549996.0,6.0,TYPE-A,79.0,2.0,ANNUAL,3,0.3748755445494149,201,2013,6,14,159027.0,0
12.0,100998.99,M,M,750000.0,1.0,TYPE-B,40.0,1.0,ANNUAL,1,0.13466532,1559,2009,9,25,80360.0,0
50.0,110000.0,M,M,450000.0,1.0,TYPE-B,34.0,1.0,SEMI-ANNUAL,0,0.24444444444444444,1953,2008,8,27,68272.0,0
22.0,124999.98,Unknown,Unknown,549996.0,4.0,TYPE-B,27.0,1.0,ANNUAL,0,0.22727434381340955,2049,2008,5,23,54216.0,0
33.0,100000.0,M,M,549996.0,6.0,TYPE-B,62.0,2.0,SEMI-ANNUAL,0,0.1818195041418483,1318,2010,5,24,124620.0,0
12.0,100000.0,M,M,1350000.0,1.0,TYPE-B,41.0,2.0,ANNUAL,2,0.07407407407407407,196,2013,6,19,82533.0,0
38.0,600004.8,Unknown,Unknown,549996.0,1.0,TYPE-B,54.0,2.0,MONTHLY,3,1.0909257521872888,1769,2009,2,27,108486.0,1
12.0,250000.0,Unknown,M,3199992.0,2.0,TYPE-B,57.0,0.0,ANNUAL,1,0.07812519531298828,672,2012,2,29,114684.0,0
60.0,100512.94,M,M,399996.0,1.0,TYPE-A,45.0,3.0,SEMI-ANNUAL,0,0.2512848628486285,1038,2011,2,28,90495.0,1
14.0,400000.0,M,F,500004.0,1.0,TYPE-B,70.0,1.0,ANNUAL,3,0.7999936000511996,1528,2009,10,26,140630.0,1
12.0,150000.0,S,F,350004.0,1.0,TYPE-B,25.0,0.0,ANNUAL,1,0.4285665306682209,1048,2011,2,18,50275.0,0
27.0,100000.0,W,F,399996.0,1.0,TYPE-B,68.0,0.0,ANNUAL,1,0.25000250002500024,1287,2010,6,24,136680.0,0
17.0,100000.0,M,M,300000.0,1.0,TYPE-B,48.0,2.0,QUARTERLY,0,0.3333333333333333,2074,2008,4,28,96384.0,1
17.0,102483.72,W,F,499992.0,2.0,TYPE-A,47.0,0.0,MONTHLY,3,0.2049707195315125,246,2013,4,30,94611.0,0
17.0,184032.97,M,F,499992.0,1.0,TYPE-A,63.0,3.0,ANNUAL,3,0.3680718291492664,168,2013,7,17,126819.0,0
31.0,120000.96,M,M,500004.0,1.0,TYPE-B,53.0,3.0,MONTHLY,1,0.24000000000000002,1589,2009,8,26,106477.0,0
17.0,119999.28,Unknown,F,289992.0,2.0,TYPE-A,45.0,3.0,MONTHLY,1,0.4138020359182322,33,2013,11,29,90585.0,0
35.0,300000.0,M,M,999996.0,1.0,TYPE-B,59.0,2.0,ANNUAL,1,0.3000012000048,1231,2010,8,19,118590.0,1
27.0,150000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,47.0,1.0,ANNUAL,3,0.27272925621277244,1237,2010,8,13,94470.0,1
17.0,251157.15,M,F,999996.0,1.0,TYPE-A,55.0,1.0,ANNUAL,3,0.25115815463261854,43,2013,11,19,110715.0,0
49.0,120000.0,M,M,849996.0,1.0,TYPE-B,45.0,1.0,ANNUAL,2,0.1411771349512233,1372,2010,3,31,90450.0,1
17.0,199953.2,M,M,399996.0,1.0,TYPE-A,46.0,2.0,SEMI-ANNUAL,1,0.4998879988799888,135,2013,8,19,92598.0,0
22.0,100005.0,Unknown,Unknown,549996.0,1.0,TYPE-B,56.0,0.0,QUARTERLY,1,0.1818285951170554,1554,2009,9,30,112504.0,0
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,70.0,0.0,ANNUAL,2,0.1818195041418483,1860,2008,11,28,140560.0,0
17.0,257226.24,M,M,799992.0,2.0,TYPE-A,56.0,3.0,MONTHLY,3,0.3215360153601536,286,2013,3,21,112728.0,0
12.0,100000.0,Unknown,M,549996.0,6.0,TYPE-B,77.0,1.0,SEMI-ANNUAL,3,0.1818195041418483,276,2013,3,31,155001.0,0
17.0,100000.0,M,M,249996.0,1.0,TYPE-B,57.0,2.0,ANNUAL,0,0.4000064001024016,1818,2009,1,9,114513.0,0
17.0,100000.0,M,F,549996.0,4.0,TYPE-B,43.0,1.0,ANNUAL,0,0.1818195041418483,1968,2008,8,12,86344.0,0
17.0,100000.0,M,M,1200000.0,1.0,TYPE-B,39.0,3.0,ANNUAL,0,0.08333333333333333,1947,2008,9,2,78312.0,0
12.0,100000.0,M,M,999996.0,2.0,TYPE-B,40.0,2.0,ANNUAL,0,0.1000004000016,366,2012,12,31,80480.0,0
33.0,500000.0,M,M,1800000.0,1.0,TYPE-B,62.0,1.0,ANNUAL,0,0.2777777777777778,1356,2010,4,16,124620.0,0
12.0,100000.0,M,M,799992.0,2.0,TYPE-B,43.0,2.0,ANNUAL,1,0.12500125001250012,733,2011,12,30,86473.0,0
65.0,253875.0,Unknown,M,1399992.0,2.0,TYPE-A,39.0,1.0,ANNUAL,3,0.18134032194469682,763,2011,11,30,78429.0,0
17.0,103999.96,M,M,699996.0,1.0,TYPE-B,34.0,1.0,QUARTERLY,0,0.14857222041268808,1219,2010,8,31,68340.0,0
81.0,100514.7,Unknown,F,549996.0,1.0,TYPE-A,54.0,0.0,ANNUAL,0,0.18275532912966638,1008,2011,3,30,108594.0,0
22.0,295518.66,Unknown,F,999996.0,2.0,TYPE-A,43.0,0.0,ANNUAL,1,0.29551984207936827,460,2012,9,28,86516.0,1
99.0,221299.93,Unknown,M,499992.0,1.0,TYPE-A,45.0,0.0,ANNUAL,2,0.44260694171106735,309,2013,2,26,90585.0,0
22.0,123717.72,M,M,699996.0,1.0,TYPE-A,54.0,3.0,MONTHLY,3,0.17674060994634255,188,2013,6,27,108702.0,0
87.0,253000.4,Unknown,M,2649996.0,1.0,TYPE-A,50.0,0.0,ANNUAL,2,0.0954719931652727,793,2011,10,31,100550.0,1
27.0,100000.0,M,F,399996.0,1.0,TYPE-B,58.0,2.0,ANNUAL,0,0.25000250002500024,1378,2010,3,25,116580.0,0
98.0,101956.45,Unknown,M,699996.0,1.0,TYPE-A,46.0,0.0,ANNUAL,1,0.14565290373087847,930,2011,6,16,92506.0,0
32.0,186452.7,M,M,624996.0,2.0,TYPE-A,29.0,2.0,ANNUAL,0,0.29832622928786745,124,2013,8,30,58377.0,0
12.0,150000.0,Unknown,F,549996.0,1.0,TYPE-B,41.0,0.0,ANNUAL,2,0.27272925621277244,1045,2011,2,21,82451.0,1
12.0,100000.0,M,M,450000.0,1.0,TYPE-B,37.0,1.0,SEMI-ANNUAL,0,0.2222222222222222,1374,2010,3,29,74370.0,0
17.0,100000.8,M,M,699996.0,1.0,TYPE-B,46.0,2.0,MONTHLY,0,0.14285910205201172,1951,2008,8,29,92368.0,1
22.0,100000.0,M,F,540000.0,1.0,TYPE-B,48.0,1.0,ANNUAL,1,0.18518518518518517,1462,2009,12,31,96432.0,0
17.0,100514.17,M,F,450000.0,1.0,TYPE-A,51.0,2.0,ANNUAL,1,0.22336482222222223,1181,2010,10,8,102510.0,0
17.0,100000.0,M,F,350004.0,1.0,TYPE-B,34.0,2.0,SEMI-ANNUAL,1,0.28571102044548063,1864,2008,11,24,68272.0,0
23.0,100000.0,M,M,300000.0,1.0,TYPE-B,72.0,3.0,ANNUAL,1,0.3333333333333333,1395,2010,3,8,144720.0,0
57.0,100000.02,Unknown,Unknown,549996.0,1.0,TYPE-B,50.0,0.0,ANNUAL,0,0.18181954050574914,2224,2007,11,30,100350.0,1
20.0,250000.0,M,M,3000000.0,1.0,TYPE-B,74.0,3.0,ANNUAL,2,0.08333333333333333,1237,2010,8,13,148740.0,1
27.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,39.0,0.0,ANNUAL,1,0.1818195041418483,1357,2010,4,15,78390.0,0
74.0,101999.65,Unknown,M,1200000.0,2.0,TYPE-A,83.0,0.0,ANNUAL,1,0.08499970833333333,276,2013,3,31,167079.0,0
17.0,257140.8,M,M,1599996.0,1.0,TYPE-A,47.0,3.0,MONTHLY,3,0.16071340178350446,62,2013,10,31,94611.0,0
56.0,200000.0,M,F,350004.0,1.0,TYPE-B,39.0,3.0,ANNUAL,1,0.5714220408909613,1372,2010,3,31,78390.0,0
12.0,300002.4,Unknown,F,549996.0,1.0,TYPE-B,65.0,0.0,MONTHLY,2,0.5454628760936444,1007,2011,3,31,130715.0,1
27.0,119999.92,M,M,2400000.0,1.0,TYPE-A,64.0,3.0,SEMI-ANNUAL,1,0.049999966666666666,642,2012,3,30,128768.0,1
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,58.0,0.0,ANNUAL,1,0.1818195041418483,2134,2008,2,28,116464.0,0
19.0,100000.0,M,M,549996.0,6.0,TYPE-B,65.0,3.0,QUARTERLY,3,0.1818195041418483,1555,2009,9,29,130585.0,1
64.0,100000.56,M,F,349992.0,1.0,TYPE-A,40.0,1.0,SEMI-ANNUAL,0,0.2857224165123774,488,2012,8,31,80480.0,1
12.0,100000.0,M,M,600000.0,1.0,TYPE-B,62.0,2.0,ANNUAL,0,0.16666666666666666,1524,2009,10,30,124558.0,0
46.0,120000.96,M,M,240000.0,1.0,TYPE-B,38.0,2.0,MONTHLY,1,0.500004,2092,2008,4,10,76304.0,0
17.0,118837.44,Unknown,M,3999996.0,1.0,TYPE-A,59.0,0.0,MONTHLY,3,0.02970938970938971,488,2012,8,31,118708.0,0
17.0,178747.17,M,F,549996.0,6.0,TYPE-A,67.0,3.0,ANNUAL,3,0.32499721816158667,276,2013,3,31,134871.0,0
54.0,300000.0,M,M,1749036.0,1.0,TYPE-B,40.0,3.0,ANNUAL,1,0.17152305612920488,1295,2010,6,16,80400.0,1
17.0,140103.12,M,F,549996.0,6.0,TYPE-A,67.0,1.0,MONTHLY,3,0.2547347980712587,341,2013,1,25,134871.0,0
32.0,128958.84,M,F,349992.0,1.0,TYPE-A,25.0,2.0,SEMI-ANNUAL,0,0.36846225056572723,826,2011,9,28,50275.0,0
17.0,108000.0,S,M,270000.0,1.0,TYPE-B,28.0,0.0,MONTHLY,0,0.4,1682,2009,5,25,56252.0,0
12.0,400000.0,M,F,349992.0,2.0,TYPE-B,40.0,3.0,ANNUAL,1,1.1428832659032206,680,2012,2,21,80480.0,1
17.0,187500.0,Unknown,Unknown,549996.0,1.0,TYPE-B,57.0,0.0,ANNUAL,0,0.3409115702659656,1463,2009,12,30,114513.0,0
60.0,150000.0,S,M,1899996.0,1.0,TYPE-B,35.0,0.0,ANNUAL,2,0.07894753462638869,1220,2010,8,30,70350.0,0
17.0,100000.0,M,M,108036.0,1.0,TYPE-B,34.0,2.0,ANNUAL,0,0.9256173867969936,2240,2007,11,14,68238.0,1
31.0,800000.0,M,M,200004.0,1.0,TYPE-B,53.0,1.0,SEMI-ANNUAL,1,3.999920001599968,1827,2008,12,31,106424.0,0
17.0,100000.0,M,M,350004.0,1.0,TYPE-B,35.0,2.0,SEMI-ANNUAL,0,0.28571102044548063,2287,2007,9,28,70245.0,0
40.0,108000.0,S,M,600000.0,1.0,TYPE-B,44.0,0.0,ANNUAL,3,0.18,1842,2008,12,16,88352.0,0
17.0,100001.76,Unknown,Unknown,549996.0,1.0,TYPE-B,29.0,0.0,MONTHLY,1,0.1818227041651212,2224,2007,11,30,58203.0,1
17.0,100000.0,M,M,600000.0,1.0,TYPE-B,36.0,3.0,SEMI-ANNUAL,1,0.16666666666666666,1888,2008,10,31,72288.0,0
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,66.0,0.0,ANNUAL,0,0.1818195041418483,1449,2010,1,13,132660.0,0
17.0,276415.05,Unknown,M,549996.0,1.0,TYPE-A,38.0,2.0,ANNUAL,0,0.502576473283442,1128,2010,11,30,76380.0,1
77.0,150000.0,Unknown,Unknown,549996.0,6.0,TYPE-B,63.0,0.0,ANNUAL,2,0.27272925621277244,1464,2009,12,29,126567.0,0
30.0,100000.0,S,M,549996.0,6.0,TYPE-B,65.0,0.0,SEMI-ANNUAL,3,0.1818195041418483,1295,2010,6,16,130650.0,1
22.0,110500.17,Unknown,M,1299996.0,2.0,TYPE-A,46.0,2.0,ANNUAL,2,0.08500039230889941,246,2013,4,30,92598.0,0
12.0,150001.2,M,M,500004.0,1.0,TYPE-B,56.0,2.0,MONTHLY,0,0.30000000000000004,1737,2009,3,31,112504.0,1
12.0,100200.72,Unknown,M,900000.0,2.0,TYPE-B,77.0,0.0,MONTHLY,3,0.11133413333333333,562,2012,6,18,154924.0,1
102.0,101316.84,Unknown,M,780000.0,1.0,TYPE-A,33.0,0.0,MONTHLY,2,0.1298933846153846,117,2013,9,6,66429.0,0
17.0,100000.0,S,F,600000.0,1.0,TYPE-B,22.0,0.0,ANNUAL,1,0.16666666666666666,1477,2009,12,16,44198.0,0
22.0,100000.0,M,M,350004.0,1.0,TYPE-B,46.0,1.0,QUARTERLY,0,0.28571102044548063,1114,2010,12,14,92460.0,1
12.0,100000.0,M,M,549996.0,6.0,TYPE-B,58.0,3.0,ANNUAL,0,0.1818195041418483,2137,2008,2,25,116464.0,0
44.0,600004.8,M,M,3000000.0,1.0,TYPE-B,41.0,2.0,MONTHLY,0,0.20000160000000003,1772,2009,2,24,82369.0,0
32.0,100000.0,S,M,1800000.0,1.0,TYPE-B,42.0,0.0,SEMI-ANNUAL,1,0.05555555555555555,2281,2007,10,4,84294.0,0
27.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,63.0,1.0,ANNUAL,2,0.1818195041418483,1407,2010,2,24,126630.0,0
40.0,100000.0,M,M,600000.0,1.0,TYPE-B,44.0,2.0,ANNUAL,0,0.16666666666666666,1934,2008,9,15,88352.0,0
27.0,100000.39,M,M,1099992.0,1.0,TYPE-A,39.0,2.0,ANNUAL,0,0.09091010661895722,169,2013,7,16,78507.0,0
22.0,100000.0,M,M,399996.0,5.0,TYPE-B,40.0,3.0,ANNUAL,0,0.25000250002500024,1493,2009,11,30,80360.0,1
17.0,250000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,45.0,0.0,SEMI-ANNUAL,1,0.4545487603546208,1678,2009,5,29,90405.0,0
27.0,150001.2,M,F,800004.0,1.0,TYPE-B,33.0,1.0,MONTHLY,0,0.18750056249718752,1377,2010,3,26,66330.0,1
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,39.0,0.0,ANNUAL,0,0.1818195041418483,2008,2008,7,3,78312.0,0
27.0,100000.0,M,M,500004.0,1.0,TYPE-B,36.0,1.0,ANNUAL,1,0.1999984000127999,1251,2010,7,30,72360.0,1
12.0,100000.0,M,M,1299996.0,2.0,TYPE-B,43.0,3.0,SEMI-ANNUAL,2,0.07692331361019572,708,2012,1,24,86516.0,1
17.0,500000.0,S,F,1320000.0,1.0,TYPE-B,78.0,0.0,ANNUAL,3,0.3787878787878788,1406,2010,2,25,156780.0,1
12.0,100000.0,S,M,1899996.0,1.0,TYPE-B,37.0,0.0,ANNUAL,1,0.05263168975092579,338,2013,1,28,74481.0,0
77.0,132015.0,M,M,279996.0,1.0,TYPE-A,26.0,1.0,SEMI-ANNUAL,1,0.4714888784125488,1090,2011,1,7,52286.0,1
55.0,100000.0,M,F,249996.0,1.0,TYPE-B,40.0,3.0,SEMI-ANNUAL,0,0.4000064001024016,1433,2010,1,29,80400.0,0
12.0,119999.0,M,M,699996.0,5.0,TYPE-B,42.0,1.0,QUARTERLY,1,0.17142812244641398,1738,2009,3,30,84378.0,1
12.0,308354.0,Unknown,M,549996.0,6.0,TYPE-B,74.0,1.0,ANNUAL,2,0.5606477138015549,307,2013,2,28,148962.0,0
12.0,199999.99,M,M,6999996.0,1.0,TYPE-B,60.0,2.0,ANNUAL,1,0.028571443469396267,793,2011,10,31,120660.0,0
17.0,100000.0,M,M,999996.0,1.0,TYPE-B,34.0,1.0,ANNUAL,0,0.1000004000016,2254,2007,10,31,68238.0,0
26.0,150000.0,M,M,399996.0,1.0,TYPE-B,68.0,2.0,SEMI-ANNUAL,3,0.37500375003750036,1219,2010,8,31,136680.0,0
12.0,500000.0,M,M,900000.0,2.0,TYPE-B,39.0,2.0,ANNUAL,0,0.5555555555555556,642,2012,3,30,78468.0,1
17.0,100000.44,M,F,399996.0,2.0,TYPE-A,47.0,1.0,ANNUAL,2,0.25000360003600036,279,2013,3,28,94611.0,0
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,52.0,0.0,ANNUAL,1,0.1818195041418483,2102,2008,3,31,104416.0,1
51.0,100000.8,M,M,440004.0,1.0,TYPE-B,34.0,3.0,MONTHLY,1,0.2272724793410969,2109,2008,3,24,68272.0,0
74.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,43.0,0.0,SEMI-ANNUAL,2,0.1818195041418483,1566,2009,9,18,86387.0,0
